shot,start_s,end_s,desc,camera,subject,texture,first_frame_ref,video_prompt_ref
1,0,5,监控墙多宫格全景 七号屏微微发亮 时间码跳动,固定全景,监控墙,监控宫格/时间码/夜视绿,FF01,V01
2,5,11,七号屏特写 雨夜一个邮递员站在单元门前,缓慢推近,邮递员远景,监控/夜视绿/噪点,FF02,V02
3,11,17,保温杯键盘与一张交班便签上写着三条规矩,俯拍手部不露脸,审核员的手,屏摄/暖色台灯,FF03,V03
4,17,23,邮递员按门铃无人应 画面在三点十七卡顿一下,固定低帧,邮递员,监控/低帧/卡顿,FF04,V04
5,23,29,一封信被塞进锈死的铁信箱 邮戳二〇〇六特写,特写转微距,信与信箱,监控转微距/噪点,FF05,V05
6,29,36,规则字幕浮现 审核员翻动纸质档案袋,俯拍,档案与手,暖灯/纸面颗粒,FF06,V06
7,36,43,二〇〇六雨夜事故远景重演 模糊雨幕点到为止,远景手持微晃,雨夜街道,老DV/雨幕/失真,FF07,V07
8,43,49,旧楼道里一个等信孩子的模糊背影,中景,孩子背影,怀旧/胶片颗粒,FF08,V08
9,49,55,对讲机响三声 七号屏里邮递员缓缓抬头看向监控,特写侧逆光,邮递员的脸,监控/夜视/逆光,FF09,V09
10,55,61,七号屏右下角贴了二十年的寻人启事 推近成同一张脸,缓慢推近,寻人启事,监控/扫描线/噪点,FF10,V10
11,61,67,邮递员转身走进雨里 镜头拉远 空信箱定格,缓慢拉远,邮递员背影,监控/夜视绿,FF11,V11
12,67,72,归档界面 NX-071 贴上红色三角 角标 NX-072 明天,屏摄固定,档案界面,屏摄/暖灯/像素,FF12,V12
