shot,start_s,end_s,desc,camera,subject,texture,first_frame_ref,video_prompt_ref
1,0,5,监控墙多宫格全景 七号屏是末班空站台 黄线泛微光 时间码跳动,固定全景,监控墙,监控宫格/时间码/夜视绿,FF01,V01
2,5,11,七号屏特写 空站台上一个旧制服安全员站在黄线后,缓慢推近,安全员远景,监控/夜视绿/噪点,FF02,V02
3,11,17,保温杯键盘与一张交班便签上写着三条规矩,俯拍手部不露脸,审核员的手,屏摄/暖色台灯,FF03,V03
4,17,23,低头看手机的乘客走向站台边缘 画面在三点十七卡顿一下,固定低帧,乘客与安全员,监控/低帧/卡顿,FF04,V04
5,23,29,安全员缓缓伸臂把乘客挡回黄线后,中近景,安全员手臂,监控/夜视绿,FF05,V05
6,29,36,俯拍翻动一份泛黄的站台值班事故记录,俯拍,档案与手,暖灯/纸面颗粒,FF06,V06
7,36,43,多年前末班站台事故远景重演 模糊人影与灯光一闪 点到为止,远景手持微晃,事故站台,老DV/失真/隧道光,FF07,V07
8,43,49,站台尽头一个等车人的模糊背影望向隧道黑暗,中景,等车人背影,怀旧/胶片颗粒,FF08,V08
9,49,55,对讲机响三声 七号屏里安全员缓缓抬头看向监控,特写侧逆光,安全员的脸,监控/夜视/逆光,FF09,V09
10,55,61,站台立柱上贴了多年的寻人启事 推近成同一张脸,缓慢推近,寻人启事,监控/扫描线/噪点,FF10,V10
11,61,67,安全员沿黄线转身走入隧道口黑暗 镜头拉远 空站台定格,缓慢拉远,安全员背影,监控/夜视绿,FF11,V11
12,67,72,归档界面 NX-072 贴上红色三角 角标 NX-073 明天,屏摄固定,档案界面,屏摄/暖灯/像素,FF12,V12
